name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
The Beachcombers,ComedyDrama,Canada,19,00387,30,1972-10-01,1990-04-01
My Three Sons,Sitcom,United States,12,00380,30,1960-09-29,1972-08-24
TNA Impact!,Sports EntertainmentProfessional wrestling,United States,04,00375,"60, 120",2004-06-04,
Heartbeat,Crime drama,United Kingdom,60,00359,18 !18,1992-04-12,2010-09-12
Kochira Katsushika-ku Kameari Kōen-mae Hashutsujo,Anime,Japan,,00367, ,1996-06-16,2005-01-012005
Bleach,Anime,Japan,15,00366,25,2004-10-05,2012-03-27
Hashir Shelanu,MusicalComedyDrama,Israel,04,00366,40,2004-03-01,2007-01-012007
Clase 406,Telenovela,Mexico,04,00365,60,2002-01-012002,2003-01-012003
Teletubbies,Children's,United Kingdom,,00365,25,1997-03-31,2001-01-05
Best Selling Secrets,Sitcom,Hong Kong,,00364,20,2007-03-12,2008-08-07
WWE After Burn,Action EntertainmentSports EntertainmentProfessional wrestling,United States,,00363,60,2002-05-25,
WWE Bottom Line,Action EntertainmentSports EntertainmentProfessional wrestling,United States,,00363,60,2002-05-24,
Sgt. Frog,Anime sitcom,Japan,05,00358,30,2004-04-03,2011-04-04
Carrusel,TelenovelaDramaComedy,Mexico,01,00358,45,1989-01-011989,1989-01-011989
Dallas- Miniseries,Soap opera,United States,14,00357,60,1978-04-02,1978-04-30
Dallas- Weekly,Soap opera,United States,14,00357,60,1978-09-23,1991-05-03
Who Wants to Be a Millionaire - Primetime,Game showReality show,United States,,00356,"60, 30",1999-08-16,2002-01-012002
Blind Date,Dating game show,United Kingdom,18,00356,60,1985-11-30,2003-04-12
Rove,Talk Show,Australia,011,00354,60,1999-09-22,2009-11-15
The City,Soap opera,United States,,00352,30,1995-11-13,1997-03-28
The Danny Thomas Show,Sitcom,United States,11,00351,30,1953-09-29,1964-09-14
Scooby-Doo,Cartoon,United States,,00350,20,1969-09-13,
Forensic Files,True crime,United States,12,00350,30,1995-08-01,
Kayamath,RomanceSoap opera,India,,00350,30,2007-02-19,2008-03-01
Kkavyanjali,Drama,India,01,00350,22,2005-01-25,2006-08-26
Lingo (US game show),Game show,United States,07,00345,"22, 26",2002-08-05,2007-06-29
Knots Landing,Soap opera,United States,14,00344,60,1979-12-27,1993-05-13
Byker Grove,DramaSoap opera,United Kingdom,18,00344,30,1989-11-08,2006-12-10
Szomszédok,Soap opera,Hungary,,00331, ,1987-01-011987,1999-01-011999
Kiteretsu Daihyakka,Anime,Japan,,00331, ,1988-03-27,1996-06-09
ER,Drama,United States,15,00331,60,1994-09-19,2009-04-02
Rodzina zastępcza,"Comedy, family drama",Poland,17,00327,"25, 45",1999-02-23,2009-12-20
A World Apart,Soap opera,United States,,00325,30,1970-03-30,1971-06-25
"Mary Hartman, Mary Hartman",Soap opera,United States,02,00325,23,1976-01-06,1977-05-10
Y?,Children's education,Australia,05,00325,22,1999-01-011999,2002-01-012002
Weakest Link - Syndicated,Game show,United States,02,00324,30,2002-01-012002,2003-01-012003
Thomas and Friends,Children's,United Kingdom,,00323,4 minutes 30 seconds7 Minutes,1984-09-04,
Virtues of Harmony,Soap opera,Hong Kong,,00322,20,2001-09-17,2002-12-28
